ID;nome;descricao;preco;estoque;imagemURL;createdAt;createdBy;modifiedAt;modifiedBy
4e3b96a0-6814-4471-ae44-f1608dd9df14;Camiseta Preta;Camiseta básica de algodão;59.9;120;https://images.tcdn.com.br/img/img_prod/958805/camiseta_streetwear_off_y_artistic_323_2_1f14e27c3b91c8f9820f5b520431e261.jpg;2024-01-10T12:00:00Z;admin;2024-01-10T12:00:00Z;admin
f925ac43-6a3f-470c-b55c-f782e9e1dd46;Tênis Esportivo;Tênis confortável para corrida;199.99;45;https://cdn.manualdohomem.com.br/?w=1200&h=751&key=aHR0cHM6Ly9tYW51YWxkb2hvbWVtbW9kZXJuby5jb20uYnI=&u=%2Ffiles%2F2019%2F02%2Ftenisbalada16.jpg;2024-01-11T14:00:00Z;admin;2024-01-11T14:00:00Z;admin
47e2072b-d11a-432f-8e67-885f8785d25a;Relógio Casual;Relógio analógico resistente à água;149.9;60;https://a-static.mlcdn.com.br/800x560/relogio-feminino-champion-original-a-prova-dagua-com-nf-cn29258x/emporiogrife/15848033361/1ef38e742050efc53958ef8d8c7154d0.jpeg;2024-01-12T10:00:00Z;admin;2024-01-12T10:00:00Z;admin
2ff86d8f-8193-4d16-b321-9d5f3e3a154e;Boné Snapback;Boné com regulagem e estilo urbano;89.9;80;https://cdn.awsli.com.br/2500x2500/1058/1058679/produto/78874523/57e0e21257.jpg;2024-01-13T09:30:00Z;admin;2024-01-13T09:30:00Z;admin
5db3bc44-17e5-4d53-9616-e14f800f29b1;Mochila Executiva;Mochila grande com compartimento para notebook;229.9;35;https://a-static.mlcdn.com.br/1500x1500/mochila-masculina-impermeavel-faculdade-alca-reforcada-grande-blend/ifast/a800/8940bddce2efe41e4e63968cb6606cf0.jpeg;2024-01-14T15:00:00Z;admin;2024-01-14T15:00:00Z;admin
a1b2c3d4-e5f6-7890-1234-567890abcdef;Calça Jeans Moderna;Calça jeans masculina slim fit de lavagem escura;189.90;75;https://rivierawear.com.br/cdn/shop/files/S7818ae00b9084262835f54fff6d61f1fU.jpg?v=1688494129;2024-01-15T10:00:00Z;admin;2024-01-15T10:00:00Z;admin
b2c3d4e5-f6a7-8901-2345-67890abcdeff;Fone de Ouvido Bluetooth;Fone de ouvido sem fio com cancelamento de ruído;299.00;50;https://fastshopbr.vtexassets.com/arquivos/ids/495369/0_JBLT520BTAZL_PRD_1500_1.jpg?v=638617860190670000;2024-01-16T11:30:00Z;admin;2024-01-16T11:30:00Z;admin
c3d4e5f6-a7b8-9012-3456-7890abcdef0a;Óculos de Sol Estiloso;Óculos de sol unissex com proteção UV400;120.50;90;https://lojavivara.vtexassets.com/arquivos/ids/908078/Oculos-de-Sol-Redondo-Acetato-Preto-1695_1_set.jpg?v=638724870330330000;2024-01-17T14:15:00Z;admin;2024-01-17T14:15:00Z;admin
d4e5f6a7-b8c9-0123-4567-890abcdef0b3;Bolsa de Couro Feminina;Bolsa de ombro elegante em couro legítimo;349.99;25;https://m.media-amazon.com/images/I/41WkJ8Vx9zL._AC_SY1000_.jpg;2024-01-18T09:45:00Z;admin;2024-01-18T09:45:00Z;admin
e5f6a7b8-c9d0-1234-5678-90abcdef0c66;Smartwatch Avançado;Relógio inteligente com monitoramento cardíaco e GPS;499.50;40;https://mirandacomputacao.jetassets.com.br/produto/47856-principal.png;2024-01-19T16:00:00Z;admin;2024-01-19T16:00:00Z;admin
